Gene name	Adrenal gland	Appendix	Brain	Colon	Duodenum	Endometrium	Esophagus	Fallopian tube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymph node	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivary gland	Small intestine	Smooth muscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinary bladder
FAM46C	0	0	0	191359.1549	720777.9184	0	3211542.324	16792.68329	0.00	0	0.00	296532.4634	0.00	10071072.18	212205.0359	197326.7382	3596643.808	0	0	1056195.542	1093718.535	490312.7086	0	0	532043.9807	550920.3896	66136.07342	2425361.923	357351.9665
FAM47E-STBD1	0	137512.3498	0	0	0	0	0	1771105.304	0.00	0	0.00	0	0.00	237476.3237	0	0	0	0	0	1180934.253	41957.18558	0	0	0	0	0	0	0	0
FAM49A	40200725.89	22134229.23	229023552.1	20206841.36	15697628.02	35366458.59	25436587.27	14489127.06	43680804.41	29263297.92	8316804.47	3085037.897	20343589.61	24829140.74	60823462.98	27346801.91	28666518.09	77752414.19	15555945.88	38141286.5	11438477.49	22522437.71	34895358.47	98062821.46	13663675.58	12634472.33	127870735.7	60290264.14	19800136.92
FAM49B	240754197.3	414390341.6	640564767.1	220553022.6	125460573.9	86661160.6	104593692.6	170880040.4	262547273.50	210901505	84161186.91	49150882.15	55951484.27	419263938.8	494825825	228133208.5	70213101.12	281643085	55872974.64	151920162.4	94088347.28	198283355.5	106615227.6	580796623.3	107895812.2	442033092.7	108937423.7	487629725.1	277949656.6
FAM50A	48743681.59	26758727.25	33511695.96	52796645.62	52994944.99	71336259.74	35590201.52	66945592.67	14468715.55	25879941.05	26823369.96	36418918.22	25756056.72	129429013.6	45650543.49	10330563.57	47953707.62	94278564.61	49149165.08	33923065.85	27573214.26	86606008.06	36142036.74	33949724.65	39900980.88	16928132.56	81906964.02	31292576.47	44645438.41
FAM50B	478222.6423	0	184959.1165	192674.8638	581850.2528	1352863.364	0	2687058.283	0.00	138053.7426	6663192.21	0	368224.01	0	1003413.328	50862.21349	488811.4698	0	497797.3932	0	77288.08348	290279.0074	910307.7983	423079.7028	261488.6307	2504819.092	727294.4726	1282860.818	293469.8289
FAM53B	0	0	0	0	0	788600.4723	0	0	0.00	0	0.00	0	0.00	737316.777	5771354.37	2941940.164	0	0	0	0	0	0	640090.7681	562576.8992	0	0	0	1578709.734	0
FAM53C	0	0	0	0	0	0	0	0	0.00	0	0.00	0	0.00	0	0	227929.2083	0	0	0	0	0	0	0	0	0	242829.1129	0	171966.8635	0
FAM57A	1439702.061	542742.9639	1540903.574	7821430.631	2283130.824	2197437.09	987174.6352	2700032.482	1213105.86	7101919.111	119177.07	356996.0552	221793.41	1408307.482	687513.186	4033298.524	3890461.537	4960911.832	5743213.179	1781313.464	3077740.489	19576753.84	0	1141733.573	12914790.53	62941.30608	543207.0753	0	2197767.252
FAM60A	0	3517665.267	0	755645.2972	0	0	0	5458448.857	3540274.71	0	0.00	600128.9134	0.00	9302904.462	0	1479930.264	1824787.104	0	0	13463683.57	0	0	0	467373.5385	0	2427628.868	0	1786552.96	0
FAM63A	7337074.595	25103863.35	67710209.14	25514044.02	18115776.61	13952031.93	12989014.22	18430993.86	10112515.65	26828167.9	39495377.24	14490857.82	28524123.76	5527149.625	2908609.856	3535420.499	118699893.5	5121686.856	19355779.12	22321737.51	29135055.93	27004520.64	13936428.31	21289543.05	33960332.98	18000259.88	75418504.64	6271697.424	5214500.737
FAM63B	2536660.981	4314677.997	3514214.766	1200186.628	1799501.107	6263119.104	5078081.105	1381243.356	1683460.48	1594834.085	34958606.10	4891068.078	1602931.50	1668228.383	730338.1338	545671.0713	0	2219842.499	725481.0073	2759957.407	3273319.562	94348.94853	0	1184451.693	3412720.512	819952.9714	2165109.595	460063.7889	0
FAM65A	2739634.052	2410347.361	4919233.285	5866990.91	1228497.68	5396105.27	2537846.197	6127001.678	3023151.63	3009283.338	5582495.06	5895264.766	1842934.31	3016352.375	4132239.09	2420627.815	5993943.399	6993798.706	2432734.043	1631445.523	1285325.914	5597437.835	11112498.45	10539685.18	6007767.577	930182.6717	3520379.524	2213399.282	2191060.32
FAM65B	0	1521155.17	878331.9332	11754635.39	6526384.074	823964.8139	759482.7021	89392.22818	227084.48	20247969.2	111896.05	0	0.00	1105319.497	18579614.51	869826.9655	2972512.608	1338107.065	149780.9762	1655876.719	438013.3951	2798196.53	1232776.74	4497046.66	0	12571189.59	264247.0361	14235201.26	757772.4111
FAM65C	511160.5496	0	0	0	0	0	0	0	0.00	0	1674632.75	290204.5779	35687922.75	512194.6331	0	0	401545.7525	136377.655	0	0	0	671557.8803	0	2872553.147	187768.2311	0	0	4705420.834	0
FAM69A	642610.7336	0	762257.2889	0	267673.8189	0	0	235494.4239	136945.64	288563.56	0.00	0	422415.33	3591063.299	115607.6433	0	0	691201.9817	777458.85	0	3905892.27	0	0	0	383323.8284	435238.0719	321175.6172	658964.1385	0
FAM73A	668414.4389	0	1997514.529	85548.61866	429616.306	0	295770.1968	325359.8288	0.00	0	476245.20	17227345.45	1721266.73	757538.9819	0	274424.8531	0	388171.4457	947571.3922	0	353480.7279	330717.5878	2557338.472	41852.63475	283664.0829	930035.5026	209966.296	0	0
FAM73B	7105464.234	717495.816	1529498.86	680466.3008	5471656.336	138588.843	0	213629.0834	0.00	836252.6057	7775755.21	0	1561906.64	952721.2196	2060101.016	0	1541231.391	0	0	1504891.923	266039.0635	3356686.584	132731.4894	218132.3684	73429.30046	113430.6296	168287.7801	80433.4559	501190.7059
FAM76A	325641.153	331540.4123	425733.7479	0	0	0	0	562673.1845	0.00	0	0.00	1037075.865	341891.08	469983.3684	278543.7545	348668.6836	0	451476.2562	0	935784.643	0	0	6432316.994	0	496166.4723	0	106807.9101	1898151.665	0
FAM76B	407905.5358	6041150.788	3847697.05	1990086.254	589859.2467	1572395.374	692686.38	565789.5361	208612.15	0	0.00	439491.0198	0.00	444039.5907	1446314.812	9920260.181	0	4457914.876	261987.5653	2033932.04	565612.1018	1329591.734	1835951.872	1773607.211	315481.0361	168148.123	974605.3183	4990783.965	1117175.257
FAM78A	0	0	0	0	0	0	0	380538.3321	3161757.99	0	970415.71	6339895.579	0.00	0	0	0	0	0	0	0	0	62680.67027	502723.4969	247630.6958	577859.6515	0	0	781939.9196	0
FAM81A	378795.982	0	4140755.959	0	0	0	0	0	0.00	0	0.00	0	0.00	0	0	0	0	0	0	0	0	0	0	0	4101531.589	0	0	0	0
FAM81B	0	8406766.853	0	0	0	2407866.036	0	10106646.29	0.00	0	0.00	338412.7343	0.00	575822.1101	49130.91362	0	0	0	0	0	0	0	246815.1535	0	2264084.003	0	0	1781609.662	0
FAM83A	0	0	0	0	0	0	0	0	0.00	0	0.00	0	0.00	0	0	790255.678	0	0	0	0	0	0	0	0	0	0	0	190234.5979	0
FAM83B	182746.1012	311042.6111	48275.73177	5806101.124	6864401.454	1859776.959	539179.8484	2283586.147	0.00	1195261.464	5516508.99	330393.1079	83116.06	6298975.285	214550.1869	3455549.187	409076.375	1755747.306	301403.7991	2964411.623	3609303.369	7936804.197	0	68395.33633	1926446.056	44301.5962	4400.037261	2865315.475	2063573.191
FAM83C	0	132039.8007	0	0	0	0	131602.0517	0	0.00	0	0.00	0	44146.89	0	0	3128928.229	0	0	7494.927043	367445.2007	0	53031.59662	175525.7083	47546.06683	0	0	0	159279.0645	0
FAM83D	0	0	0	736047.3537	1264664.279	0	1510302.346	65560.40617	0.00	1808348.164	281107.99	0	203147.09	2390292.234	92044.06403	112590.1689	0	0	1717335.099	1903678.859	0	302410.0011	0	0	0	4719567.772	207131.1077	368313.1757	277312.2209
FAM83E	0	256962.3767	0	1121488.875	2077514.095	0	0	338346.7472	0.00	1338017.212	0.00	0	0.00	0	358538.3081	396153.5975	0	0	0	948000.2414	516856.8797	941922.3234	798998.6234	0	9316285.712	0	2332098.434	0	1173823.886
